period,fit_h,select_h,sel_L0 physics,sel_L1 + derate,sel_L2 + diurnal bias,sel_L3 + boosted,sel_L4 diurnal + boosted
2024-08-01 00:00:00+09:30,978,291,0.0914770931109794,0.086853058240601,0.06771598605280554,0.09383446428621406,0.06695165602319816
2024-09-01 00:00:00+09:30,1193,354,0.09184747833266006,0.08604940498470975,0.04873341082330092,0.0759152234327389,0.053048545173175886
2024-10-01 00:00:00+09:30,1432,406,0.125837913803972,0.12057956899192644,0.08473799843330419,0.10946496854243461,0.08400955408631247
2024-11-01 00:00:00+09:30,1726,452,0.13184425435578886,0.132614297637064,0.10379508531559481,0.12463597707971208,0.11933444072325912
2024-12-01 00:00:00+09:30,2044,483,0.17350497816594423,0.17711891417235917,0.14192607279689284,0.17273860052841328,0.14170041418121504
2025-01-01 00:00:00+09:30,2393,454,0.14912703287526458,0.14980853440990563,0.13558716378432067,0.1505736472260466,0.13713078757956948
2025-02-01 00:00:00+09:30,2729,354,0.10839231305135183,0.1098286083055481,0.08837239014006443,0.10379426965146261,0.09030441853905252
2025-03-01 00:00:00+09:30,2979,331,0.104965787241141,0.10601903275682889,0.06980267612218481,0.09930480893264917,0.07564330929375361
2025-04-01 00:00:00+09:30,3225,329,0.144346451107238,0.14656069108268252,0.10413282067836559,0.1297216954665138,0.10634746471426834
2025-05-01 00:00:00+09:30,3465,304,0.12901442002608654,0.1300260916470358,0.08823781167781776,0.11390878536819062,0.0889778555809742
2025-06-01 00:00:00+09:30,3696,292,0.09745421164136829,0.10143013109129537,0.05324579112954875,0.08657284737972325,0.053821067218468965
2025-07-01 00:00:00+09:30,3904,295,0.08190678483521767,0.0798711694859327,0.05594395833562742,0.06991275061947166,0.05670983896630747
2025-08-01 00:00:00+09:30,4115,320,0.07960495870563558,0.07377950764112186,0.046507845517488246,0.07433730784282884,0.04470992097089223
2025-09-01 00:00:00+09:30,4353,377,0.09107539033308795,0.083241853434161,0.048145273973354635,0.06704716093999835,0.04552681947346142
2025-10-01 00:00:00+09:30,4607,442,0.11877998200750607,0.1138673085443789,0.07139722222442976,0.10640731387933926,0.0831701082844134
2025-11-01 00:00:00+09:30,4928,482,0.15763508370036086,0.16029532227176813,0.11539101981409956,0.13852607535187214,0.12921341938170688
2025-12-01 00:00:00+09:30,5266,521,0.19099020228495678,0.19810705792640104,0.15354156406541195,0.17604345594830867,0.15394162485691404
2026-01-01 00:00:00+09:30,5644,546,0.13683008015172204,0.13981745288143776,0.1165270828418529,0.12387764285235549,0.1323002329540333
2026-02-01 00:00:00+09:30,6047,532,0.10085640898831233,0.10392521520362075,0.08137461444792105,0.0891596510482495,0.10326353412549845
