,0
ghi,0.17567062
relative_humidity,0.15448208
hour_sin,0.13805263
aoi,0.07539487
age_years,0.055655565
solar_zenith,0.046987023
declination_signed,0.0422796
clearsky_index,0.03571372
azimuth_offset,0.03144696
expected_kw,0.030206116
poa_global,0.029922666
solar_elevation,0.028065022
wind_speed,0.026428968
temp_cell,0.021356998
hour_cos,0.01962793
days_since_rain,0.019567268
clearsky_index_std_3h,0.016227584
temp_air,0.016066438
precip_7d,0.013021263
temp_cell_excess,0.012022414
clearsky_index_lag_1h,0.011804384
